0,,CP Cost,Name,Jumpchain,Description,PERKS,COVER,41
,,,,,,,,
,,Free,Basic Training,Fate/Stay Night,"Everyone has to start somewhere. No matter who you started as in this place, you've got the basic knowledge any magic user has. You know the core arts of Reinforcement, Gradation Air, Hypnosis and Formalcraft at an average level. Reinforcement is the enhancement of the functions of beings or objects through magical energy. You could make yourself as strong and fast as an Olympic athlete or enhance your senses to the best of human ability and so on, or you could increase the sharpness of a sword to cut through steel or the durability of a shield to endure small calibre firearms with ease. Things can only be reinforced so much at a particular skill level before they simply explode from overstuffing. Gradation Air is shaping magical energy into the form of an item, which temporarily becomes real. You could make a sturdy but mundane sword or shield with this, though they would not last more than a few minutes at a time. Hypnosis is the basic form of mind control all Magi learn to use. It can be easily shrugged off by any supernatural being or magic user at this level but manipulating ordinary humans is quite easy and only those with exceptional willpower be able to resist the use of this without magic to back them up. Formalcraft, generally considered magecraft for dummies, is a way for Magi to use the mana in the air, along with sacrifices or ritual preparation, to make casting spells easier or possible at all for those with little personal magical energy. All of these can be improved with time, sometimes to terrifying levels, but it will take effort and time. 

For 200cp, any of these disciplines but Formalcraft may be upgraded to a mastery of the subject. A master of Reinforcement would be able to match an agent of the Church with the Holy Sacraments or even surpass them in one area if they focused on one area. A master of Gradation Air could create simple enchanted weapons for temporary periods or complex mundane ones with many moving parts for hours or even more than a day at a time. A master of Hypnosis would find that even experienced Magi struggle to throw off their influence and that mundane humans are almost incapable of the slightest resistance to their mind control. This mastery can be bought once for each option.",,,
,,Free,Family Research,Lord El-Melloi II Case Files,"Mages pass knowledge down their lineage, and yours is no different. You have extensive knowledge of a subject such as magical archeology, the human genome, or Mystic Eyes. Once your skills are up to snuff, you will be able to perform numerous mysteries that most magi cannot. Additionally, some Thaumaturgic Attribute has been passed down your bloodline, which adds meaning to elemental magecraft, making it more effective and versatile.",,,
,,100,More Like An Animal,Tsukihime,"With your origin in mind, you may not enjoy the company of humans as much as you used to...or perhaps that how you’ve always been? You’ll find you can easily live and survive outside of civilization, adapting to new environments in a very short amount of time - forests, deserts, and similar places untouched by the hand of humanity are like a back yard to you. Note this only applies to mundane survival this won’t let you survive in a tornado or the surface of the sun or what-have-you. Animals also like you more - wild beasts without reason to hate you leave you alone, or are easily tamed by you should you work towards it.",,,
,,100,Experiment,Lord El-Melloi II Case Files,"You are at home in a lab. You know all the procedures of experimentation, can keep detailed and accurate notes, and will never accidentally violate a safety protocol. You also have the ability to compose for the less educated, and a knack for correctly connecting cause to effect, which would make you a half-decent detective, though it is nowhere near infallible.",,,
,,100,Holy Sacrements,Generic Nasuverse,"This perk grants access to the Holy Sacraments used by the Church. In truth, this is a form of magecraft. The most stable and well-spread form of magecraft in the world. However, the Church considers it to be a gift from God. They will kill, or at least ostracize, anybody who says otherwise. 

As part of this perk, you gain basic knowledge of how the Holy Sacraments work, though you don’t actually learn any spells.",,,
,,100,Young Sherlock,Fate/Legends: God Save the Queen,"To many, the world is a mystery. A chaotic mess where luck, chance and fortune rule over the course of life. But all it takes is looking a little closer, at the right places, and you can start to see the connections. You have a natural talent for seeing connections between things or events, as well as uncovering that which others want to keep hidden. You were lucky enough to receive a good education growing up, giving a respectable amount of knowledge in medicine and history and several other academic fields. It wasn’t really the focus, just supportive for your training to investigate the unknown. As a young detective in the local police force, a private eye, a hunter in olden times or something else entirely, you’re starting to be known for your gift at finding things that others don’t want to be found.",,,
,,100,Genius,Fate/Kaleid Liner Prisma Illya ,"Maybe you had information implanted into your head. Maybe you had a childhood locked away where the only thing to do was study. Either way you are a genius for your age and have university level knowledge on a number of topics. You excel at mathematics, physics, cooking, athletics and a number of art styles.",,,
,,100,Lore Master,Grand Foreigner,"Given the role of Servants throughout history it is quite beneficial to have studied the lore of the world. Da Vinci is a perfect representation of this for her world while Ainz has a similar level of knowledge for Yggdrasil. You however, seem to share the combined knowledge of both figures. Your knowledge of legends, mythologies, and history is unmatched.

This provides you with the ability to recognize any Servant on sight, knowledge of every noteworthy event to ever occur, and a perfect understanding of all civilizations. Surely there is something that you could do possessing the knowledge of quite literally hundreds of worlds. Lastly, post-jump your knowledge will be updated with the history of the setting up to your arrival.",,,
,,100,Mastery of Magecraft,Vasto of White,"Magecraft is the primary form of magic used by Magus in the world of Type-Moon. This perk allows you to acquire a certain level of competency in the field for your own use, tailored to your needs.

For 100 CP, you may choose a specific field of Magecraft (such as healing, divination, or elemental manipulation) and gain knowledge and skills equivalent to a skilled Magus in that field. 

For 200 CP, you may expand your knowledge to include multiple fields, allowing you to become an exceptional Magus in your chosen areas of expertise.

For 400 CP, you may gain knowledge and skills on par with Caster Class Servants, allowing you to become a master of a wide range of Magecraft fields. 

If you desire to be on par with the best amongst the Casters, you may pay 600 CP to receive a level of mastery surpassing even the most powerful of Magecraft users.

For the ultimate option, for 800 CP, you may become a Magecraft user on par with the wielders of True Magic and the Grand Casters themselves, capable of feats that transcend the limits of conventional Magecraft. 

Regardless of which option you choose, this perk will grant you an intuitive understanding of Magecraft that will allow you to use your skills effectively and efficiently, even under pressure.",,,
