Setting,Perk/Item,Description,Price
A Brothers Price,Farm,"This charming and well-built Farm is one recently purchased by your or your family, or perhaps your family has been here for some time, and built it brick by brick from the foundations, either way it is solidly built, easily defended and well-considered in terms of the layout between the central farmhouse and the surrounding outbuildings and barn.

The farm is quite large and for its size is unreasonably productive for the place and time, capable of feeding a large family of around 100 with enough left over to sell. The farmland can only harvest mundane crops, and it’s fields can only sustain mundane farm animals, but beyond that the farm is quite adept at taking on improvement and alterations, so long as it remains distinctly a ‘farm’ and not something else.",200
A Will Eternal,Spirit Farm,"What every good sect needs is an area that they can grow and raise the more domestic variety of spiritual fauna and flora. Adventuring to gain rare resources is all well and good, but they also need a stable income of cultivation material. This is your one. A moderately large area of farmland. There is space for farming crops, though do try to look after the soil for the results. There is also grassland for animals, complete with a chicken pen filled with a plethora of spirit tailed chickens which are delicious to eat, helps with your cultivation, and whose feathers can be burned to produce two-colour flames. Renovate this grassland as you wish to take care of different farm animals.",100
All-Star Superman,Kansas Farm,"Just a small town girl...wait, we did that already. It’s a simple, mundane farm. You know, the family kind. Comes with a bunch of livestock and fertile soil for plenty of crops of your own choosing, plus things like a barn and a working tractor.. What are you waiting for? Get to work!",200
Atelier Arland,Herb Garden,"Your own personal herb garden, though you’ll find that plenty of people in Arland seem to have one nearby. Perhaps it’s due to how popular alchemists are in Arland proper, but hey, at least now you can stop asking that neighbouring girl for some herbs. You could always continue to hunt in the various dungeons for herbs – but this will give you a reliable measure to cultivate new herbs, something that won’t be as easy in a dungeon. You may only purchase a single garden, though taking this option multiple times will double its size each time – it starts off the size of a small backyard garden.",50
Atomicrops,A Small Farm,"A large plot of land, at about ten acres. It has a hard rocky ground good only for weeds, with only a few square feet of arable soil in the middle, near a well that always has water. After this jump it can be added to your warehouse, near a town at your beginning location in a jump, or on another property you've bought with CP and you can change its location at the start of each jump.",Free
Battle Through The Heavens,Garden of Deadly Eden,"While going out and collecting resources is a tried and true way to gather medicinal plants, sometimes it is easier to simply farm them. This is a wonderful valley, with conditions necessary to grow just about anything and everything, filled with beautiful plants. If only half of them weren’t deathly poisonous. Poison Masters and Alchemists would love to own one of these. Initially it comes stocked with a vast variety of basic plants. Afterwards, these will need to be planted and grown by someone. This valley is nearly 10 km in size, and will warp space to accommodate any particularly large plants, up to 100 km in size. Post jump, this valley will remain attached to your warehouse.",400
Black Crusade Part 1,Garden of Plagues,"Have you ever found yourself in a situation where you just wanted to give and give until you couldn’t give anymore? Decided that in a galaxy of death and stagnation, you just wanted to do your part and bring joy to a world that so desperately needed the affections of one who didn’t judge? While you’re not alone, you also happen to be in the same boat as others in that you need a place to make your presents. Fret not, for your parlor awaits. A large forest that seems to always be hot and humid, it’s at just the right temperature for plants and wildlife to thrive and grow at an accelerated rate. The soil is rich in nutrients to guarantee bountiful yields, and time seems to flow faster to allow life to spread... and die, and rise anew as all manners of viruses and plagues that achieve symbiosis. Adding more plants or plagues simply lets it take new material in, like giving a plant water to grow. Finally, upon cultivating a plant or pathogen that fills you or anyone who uses this place with love and pride in their work will find a tiny piece of that love empowering their soul and optionally altering their appearance to take on traits of the life around them. All life is connected, and it’s our duty to help it along. You may choose if this is a property or a Warehouse attachment.",200
Changeling The Lost,Fairy Garden,"Any extradimensional space that follows you through jumps now has enough ambient glamour to support the growth of goblin fruits and other plants that grow in the hedge or give you a quick fix when you're in need. This ambient glamour will have no effect on mortals, but leaves changelings feeling giddy. You have to actually transplant the fruits you want, though. If you don't have any spaces that follow you through jumps, you now have a small garden that appears in a safe place.",50
Chocobo Dungeon,The Flower Garden,"It looks more like a farmer’s planting field than a proper garden, but this attachment is largely for folks who want a place to plant seeds and nuts that they might find inside the dungeon. The field remains hydrated, courtesy to rain clouds that pass by in a routine manner, but with this extension we’ll also throw in a fully grown nut tree and a small flower garden. Nuts drop routinely from this tree – though the type of nut which drops varies between the wide varieties of nuts that can be found in the dungeons. The flowers on the other hand can be tossed at enemies, and most of them have effects similar to recovery potions and whatnot.",50
Ciel Nosurge,Kitchen Garden,"Ra Ciela’s inhabitants have developed a very rich food culture. This translates into multiple customs and tendencies. One such manifestation is the Kitchen Garden, a special room present inside most homes that is dedicated to the growing of various kinds of foods, though mainly plants like fruits and vegetables. This living room-sized chamber and its contents are easy to take care off and it will even provide a small yet noticeable boost to the growth speed of any plants placed inside. You now possess such a room, which will either integrate itself as an add-on to your Warehouse or spawn as a small shed-like structure in future worlds.",200
