100 CP,Bullhead Shield,Bastion,"A large, nearly indestructible shield, the Bullhead shield was commonly carried by the Caelondian guild of Menders, both healers and builders. It was also a symbol of justice, commonly used in the Bullhead Trials, where a man could throw his judgement to the gods and attempt to earn his freedom by defeating a horde of monsters armed only with this. Heavy and difficult to hold up for any significant amount of time, the Shield is nonetheless almost impossible to break, does not conduct heat or cold, dampens most impacts, and is otherwise an amazing defensive instrument. What’s more, if swung just perfect and with just the right timing, it can counter most attacks, stunning melee attackers and reflecting projectiles. This takes practice, though."
100 CP,Staff of Light ,Final Fantasy,"A staff seemingly forged of light energy. Resonates with the user, empowering all magic cast through it, either curative or destructive."
100 CP,Dream Rod,Kingdom Hearts,"A green stave with a blue gem shaped like the Mickey Mouse symbol decorating the end, this staff can be summoned and dismissed from your hand with a thought, and can be called upon during unreal circumstances such as in dreams or virtual realities. Hitting magical projectiles with it works surprisingly well, though it’ll take some practice before you can reliably aim them. This staff also boosts the damage of magical ‘finishing moves’, letting you cast a spell several times in a row with the final attack does extra damage."
100 CP,Shield of Ysgramor ,Skyrim,"The shield of the ancient nordic hero, Ysgramor, crafted by the one who would one day become Ahzidal. In addition to being much lighter than it should be, it will absorb one fifth of all magic that strikes it, using it to replenish your pool of magicka."
200 CP,Jester Staff ,Diablo,"This strange staff has various jester masks carved into it. Rather than cast a random spell every time you use it like the more common version, this staff changes every day and stays the same spell all day. Random choices are Firebolt 20%, Apocalypse 10%, Chain Lightning 10%, Fireball 10%, Fire Wall 10%, Guardian 10%, Teleport 10%, Town Portal 10%, Stone Curse 10%. Spells are fired at the character's appropriate Spell Level, or at level 1 if the character doesn’t already know the spell. You will know what the spell is."
200 CP,Save the Queen,Kingdom Hearts,"The epitome of magical foci, there are none save possibly the Keyblades that can compare in all of the world's. Spellcasting with this ornate and extremely durable staff results in significantly more powerful magic’s, doing more damage or simply being more intense or enduring. A unique ability of this winged staff is to restore a defeated (though not dead) ally to almost full form in an instant, something it can do several times during the one battle."
200 CP,Magical Staff,Legend of Zelda: A Link Between Worlds,"This golden staff with a carving of an inverted Triforce is filled with magical energy which gradually replenishes, ideal for supplementing your own power when you’re running low. In addition, it can be used as a focus to enhance your own spellcasting, and is exceptionally effective in doing so. If you would prefer, you may instead import a staff or wand to receive these characteristics."
200 CP,Berserker Staff,MCU,"Technically more of an Asgardian relic rather than a purely magical one, it is nonetheless an effective tool that brings honor to the Nordic legends of warriors who would drown the fields in the blood of their enemies. Made from a strange metal, any who wield this staff receives a surge of both super-strength and adrenaline that allows them to fell entire groups effortlessly. This is also helped by being fueled with their inner rage and hatred, giving that extra push needed to go from a mere user to a mind capable of breaking bone and sundering flesh."
200 CP,Wizard's Staff,N/A,A simple wooden staff that can be used to store magical energy and direct it. 
200 CP,Claw Shield ,Thundercats,"A golden gauntlet strong enough to be used as a shield, capable of blocking magically sharp swords and deflecting energy blasts, with sharp claws at the end of the fingers. It also includes a short sword scabbard inside and the knuckles of the claw can be shot as grappling hooks each with a several dozen feet of thin but very strong line. The gauntlet is also polished enough one can use it as a mirror. You can import a shield or gauntlet you already have to gain these abilities and alternate form."
