,CP Cost,Name,Jumpchain,Chapter,Description
1,Free,Beautiful,Tales Of Demons and Gods,Providence,"You are very beautiful, guaranteed to be
beautiful enough make the majority of the opposite sex think you
are hot. This won’t shift your appearance to something you find
ugly."
2,Free,Required Secondary Abilities,Desolate Era : The Three Realms,Providence,"The laws of this Universe are very different from those
you are used to, and things such as moving faster than sound are possible for even the most base
rank and file Yet they find themselves lacking things such as sonic booms. In this Universe and the
ones you will travel to in the future, such protections will thusly continue to exist. In addition to
this, spending countless years on a single task, or just on living a normal life, also don’t seem to be
a problem for you anymore."
3,Free,Infernal Governance,Infernals Exalted,Providence,"You would hardly be a noble if you couldn’t look and act the part. Luckily this is something
you have internalised completely, able to project a sense of dignity, grace, and nobility
through your body language. And you don't just look like it, you also have experience with
politics and governance, to the point that you would be able to walk into near any court in
Creation and be accepted, while you would actually be able to be a good ruler. Of course to
live the lifestyle of the nobility, you'll need a certain amount of wealth. It is a good thing then,
that you're just as skilled in selling whatever you wish, finding the appropriate buyers, and
setting up a shop to do so. Lastly this makes you skilled at coming up with convoluted plots
to accomplish your goals, which somehow seem to work better than simpler schemes."
4,Free,Language Comprehension,Mushoku Tensei,Providence,"The Six-Faced World has many languages and going from one continent to another without learning the
language there would make you unable to communicate with other people. This grants you an ability
to understand, speak and read any language that you heard people speak and seen its words in hours. When
speaking to someone with a different language that you didn’t learn, you can instinctively guess the general
meaning of their words and slowly piece them together to form words allowing you to speak the said language
down to their accent with enough time. Seeing written words of an unknown language constant exposure or
trying would allow you to slowly piece it together allowing you to read the written words with enough
time. This also allows you to invent your language or decryption to prevent others from knowing your secrets
that you wrote in books that you don’t want others to find out about."
5,50,Angelic Beauty,Dragon Ball,Providence,"As per is standard for most anime worlds everyone here seems to look like a model
particularly the powerful and important figures. By taking this perk you can be included
in this group and become an incredibly attractive figure. This beauty can also be suited
to giving off a suitable aura such Vados’s angelic beauty, or
Towa’s devilish charm. This will also remove any imperfections you have and ensure
that any future defects are pleasing.
Alternatively if you aren’t satisfied then you may upgrade this option for another 150 CP.
With this you may gain an unmatched appearance like the Time King or the Great
Heaven Official. Their beauty is grand enough to hypnotize powerful experts with their
mere presence. Xiaya even acknowledged that they were more beautiful than his wives
and that their beauty shouldn’t appear in the world."
6,50,Slightly Meta,Generic Exalted,Providence,"At any time you can call up a purely mental ‘statistics sheet’ that will
faithfully represent your various attributes, abilities, specialties, charms known, sorcery or
necromancy known, and so forth. Almost as if you were looking at an Exalted character sheet of
yourself. Translates out of jump abilities, perks, and such as well, though it’s not quite as
precise about it, to allow you to keep an accurate and objective running tally of your progress.
As a side benefit you will never be lost when people start using metaphor or meta-references.
You will always understand what they are talking about when they say ‘we need to go deeper’.
This doesn’t give you fourth wall awareness of course, but you’ll know when that crazy guy is
actually crazy or just using meta-speak."
7,100,The Immortal Life,UQ Holder,Providence,"All immortals eventually face the challenges that come with eternal life, if they live long enough. Some find ways to cope with the boredom, the loss of friends, and the fear that mortals have of them. Some do not. You, however, seem to have skipped the process of dealing with those issues entirely. The immortal life is effortlessly manageable for you. You never feel bored, no matter how many years pass without activity. You easily come to terms with the aging and deaths of friends and loved ones, and you have no trouble reintegrating into society, appearing as an ordinary person despite having no records or history."
8,100,Spring Of Life,UQ Holder,Providence,"Perhaps you no longer suffer the boredom that immortals face, but it does not mean you can push yourself without limit. At least, it didn’t before. You have an endless wellspring of motivation and energy inside you, something that pushes you to always be willing to get up and try again at what you’re stuck on. You’ll never have the issue of lazing around when you know you should work and can always dedicate yourself fully even to the most unpleasant of tasks."
9,100,Team Mom,UQ Holder,Providence,"Over the years, you had to learn to fend for yourself. Unless you wanted to eat raw meat, you had to learn to cook. If you didn’t want to have a dusty cave to hide in, cleaning time it was. A few weird encounters even had you raising children. You got pretty good at it all even. One might even say fantastic at all kinds of housework and child-rearing skills. You only seem to get better at it when doing that housework for someone you care for, making your meals or efforts all the better. Maybe it’s true what they say about something being made with love."
10,100,Free Of Debts,UQ Holder,Providence,"Can you imagine actually living long enough to pay back all those debts? It’d be a nightmare. Especially if you’re not the careful type when you fight. All that potential collateral damage to be had, magic really isn’t any joke. So long as you don’t intend to cause damage for malicious reasons, collateral damage caused by you won’t come back to haunt you. If you were fending off the bad guy and accidentally destroyed a few homes, you won’t need to foot the bill for them and no one would have gotten hurt either. If you knowingly decide to shoot through a house to get the bad guy… maybe a different story."
11,100,Hope,Kill 6 Billions Demons,Providence,"Hope. Perhaps the biggest lie. To have hope is to have your dreams smashed and belief shattered. But this lie can also fuel you. When you have Hope, no matter what it is, it is much harder to break you. Perhaps sometimes lies are helpful."
12,100,Habitual Drunk,Kill 6 Billions Demons,Providence,"It is hard to outdrink you. It seems something in your body craves the stuff, and you need it badly. No one, no matter who, can ever outdrink you. Ever."
13,100,Drunken Brawler,Kill 6 Billions Demons,Providence,"While drunk, it appears luck and fortune are on your side. When drunk, not only do you become stronger than normal, but you also become more likely, dodging at the perfect moments to avoid attacks, and such."
14,100,Famous Iron Soul,Kill 6 Billions Demons,Providence,"When wearing armor, the armor feels like nothing on you, and doesn’t inhibit your stamina at all, regardless of how thick and heavy the armor is."
15,100,Friendly Face,Kill 6 Billions Demons,Providence,"You naturally seem to get people to trust you, whether by your looks or mannerism, you come across as gentle and nurturing and friendly. Just be careful, there are some who view this as a weakness."
16,100,"Good Breeding
","A Cultivator's Beginning",Providence,"You possess significant beauty, charisma, and social skills. Those who interact with you in an amicable manner find it a joy to continue their relationship with you, whatever it may be. You know your way around society, and society will gladly accommodate you.

In addition, you find it easier to learn the ways of foreign civilizations, and foreigners will tend to treat you better than they would have without this perk."
