0,,CP Cost,Name,Jumpchain,Description,PERKS,COVER,90
,,,,,,,,
1,,50,Beniemiya,Fate/Legends: The Land of The Rising Sun,"It might just be something in the water, both what you’re drinking and what you serve to the guests that adore ever meal you make. You’re a savant when it comes to making meals, not just limited to Eastern dishes either. With a little experimentation, you can make almost anything into a mouth watering feast for both the tastebuds and the eyes. The real problem isn’t making a good meal but keeping all these greedy pigs from eating you out of house and home. Don’t even try making hamburgers around any blonde ladies, it never ends well.

Now, while cooking good food is a prize well worth it, you do also have a more useful aspect here. By channeling magical energy into your tools and ingredients as you work, you’re able to ‘enchant’ the meal with a variety of useful effects. A hearty beef stew that lets a warrior heal their wounds much faster than normal, sugary sweets that give people the speed of the wind, a mighty hamburger that temporarily bulges the muscles to greater heights. Even negative effects are possible, if you want to taint your food that way. They only last for a temporary period and the effects tend to be fairly weak without a lot of mana put in but it makes your food all the more popular.",,,
2,,100,Beauty Within All,Grand Foreigner,"Da Vinci is considered to be one of the greatest artists to ever live alongside her other titles. This trait clearly shows in every item she makes. In fact, even when intentionally trying to produce a bland item it still possesses overwhelming beauty. It appears that you have learned from Da Vinci as anything you make is a thing of beauty and its quality is improved beyond what it should be. You are literally incapable of producing relics of poor quality or with an average appearance. Since you are paying for this with CP you may optionally disable these effects if you wish to for some reason.",,,
3,,100,General Alchemy,Generic Nasuverse,"Grants a general knowledge of alchemy. However, this knowledge is mainly surface deep. It mostly tells you what’s possible rather than actually giving you the ability to perform any impressive feats of alchemy. You’ll only be able to perform low level alchemy if this is all you buy.",,,
4,,100,Quick Spinning,Fate - The Island of Sin,"Life can be hard for a faerie guardian of brides. Especially when those brides can sometimes be so incredibly unreasonable. Seriously, who ever heard of sewing an entire dress in a day?! Fortunately, you can deliver on even the most outrageous demands. You can speed up your craftsmanship without sacrificing technique or skill; however, doing so consumes your stamina. At the peak of this ability, you could sew an entire fancy wedding gown in only a single day, at the cost of completely exhausting yourself if you’re a standard faerie.",,,
5,,100,Poison Culinary Master,Fate/Saber Wars,"Even British cooking isn’t this deadly! Your skills in the kitchen have nothing to do with making tasty food and everything to do with making food way too deadly to eat. From preparing the most toxic poisonous fish into a visually tempting trap, imbuing home-made pizza with an intense magical poison to giving sapience and soul to a mountain of mash potato solely to turn it into a heartless killing machine. No need for an armory, you’ll be deadly as long as you have a kitchen to draw on. You’re quite capable of eating your own food and years of doing so have made your body able to secrete deadly toxins at will, making the chef almost as deadly as their product. Some have claimed this is all the result of extensive training as an Assassin on planet Hasshashsin but in reality, it’s just pure (lack of) culinary skills.",,,
6,,100,Living Under the Hood,Fate/Legends: God Save the Queen,"As fantastical as they can seem, a realistic mindset does folk heroes as much good as any other man. Despite your origins, you’ve come to have a quite pragmatic skillset. An experienced survivalist, able to last months on your own with no tools or supplies but what you find in the English forests, and extend your efficient mindset to most things in life. Being able to limit yourself to only what you need and resist temptation extends rations and budgets a great deal further. While others can be resistant to giving up their luxuries normally, your guidance can make it much easier for them to remain comfortable and accepting of a more limited lifestyle. 

Your talents for turning natural materials into effective tools and weaponry, even to somewhat magical degrees, only helps this survival aim further. The bows you carve often have unique attributes based on the supposed magical nature of the wood they are made from, while poultices made even with ordinary herbs can have unnaturally potent healing properties. The extensive knowledge of mundane and magical nature does help too.",,,
7,,100,Traditional Japanese Art ,Fate/Legends: The Land of The Rising Sun ,"You may never make your name on the battlefield but those fools running around with metal sticks waving fail to understand the influence more delicate approaches can have. You have the talent and the training to become a nationally famous artist in a style found here in Japan. Writing and poetry, calligraphy, some of the varieties of traditional painting or even more modern arts not yet created in older Japan.

While you have the ordinary skill to create emotionally moving and lasting pieces of art, you also possess a magical side to your style. You can naturally enchant your works with magic, enabling it to have a more direct influence on the minds and hearts of those who experience it. Simplest to just direct the emotions of readers but with time, you can plant ideas and even commands to be later activated in the minds of others. Art that is similar to your chosen style is easy for you to expand your skill into, a painter will quickly master other styles of painting, and your art is never boring or bothersome for you to focus on. More, it is calming and enables you to re-centre yourself no matter the situation",,,
8,,100,Scientist,Grand Foreigner,"Scientist is one of the many classes available within Yggdrasil. Scientist is primarily used by crafters and magic classes. It allows the user to increase the quality of blueprints, create new potions, and more easily memorize new spells. The class does provide a relatively low amount of stats, but every five levels it allows the user to gain special perks and unique sub-classes such as the Magic Explorer class. These perks are normally special abilities related to learning or development. An example would be using less materials to create items, learning blueprints, or discovering new potions. If you lack a leveling system then this skill will naturally grant you these perks as your proficiency develops.",,,
9,,100,Item Construction,Grand Foreigner,"Item Construction is a skill that allows the user to assemble various items instantly. By gathering the materials you can directly assemble them creating weapons, enchanted items, and other useful resources. This also can follow any recipes to create a perfect product. This skill will start out by allowing you to create anything up to the Legacy level. This limit however, can be improved by developing various crafting proficiencies. Should you sufficiently develop your skills you will be able to create Divine level items and products of unparalleled quality. Lastly, this ability can also be used to generate large structures such as camps, castles, and other facilities.",,,
10,,100,God of The Kitchen,The Holy Man of The Church Creek,"Aside from his skill with swords, Shirou’s greatest talent lies in cooking. Your skill in the art of cooking is so grand that you could be considered a god of cooking. You can effortlessly transform basic ingredients into culinary masterpieces that astound and captivate all who have the privilege of tasting your creations. Each dish you craft is an exquisite symphony of flavors, textures, and aromas, showcasing your profound understanding of ingredients, techniques, and harmonious culinary composition.

Consuming your culinary creations bestows upon individuals an overwhelming desire for more. The flavors are so captivating and addictive that those who partake in your dishes are enraptured, compelled to seek second helpings and beyond. Their taste buds dance in ecstasy, and their loyalty becomes unwavering as they yearn for the privilege of experiencing your culinary creations once more.",,,
