0 CP,Jumper Museum,Megamind,"A whole museum dedicated to you and your adventures, in the form of a warehouse attachment. If you don’t have a warehouse or something equivalent, you can either attach it to another property or access it through a portal that you can open up at will and wherever. The exact size and contents of this museum depend on you and your chain. It’ll be a tiny place with a handful of exhibits on your life prior to your chain if you’re just starting out, while picking it up 1000 jumps in will make it an absolutely titanic structure where someone could probably live their whole life without ever finding the entrance again. It grows as you go about your adventures, forming new exhibits with each new world and notable achievement, though you can choose to exclude certain things. You’ve also got a choice of how the museum covers your exploits, whether you want it to be a loving reminder of your heroism, a fearsome recounting of your villainy, or something else. Optionally includes a gift shop and snack bar, neither of which charge you or run out of stock"
0 CP,The Game,Stargate Atlantis,"A pair of Ancient ‘game’ consoles, which contains a Civilization-style RTS game where the players take
on the roles of Oracles guiding their respective nations. It has a level of detail totally beyond any game
the Tau’ri have – a level of detail that would make one wonder if the nations were more than just
simulations. Fortunately these particular consoles are not linked up to a series of satellites over a
distant planet... really. Multiple purchases can be networked together."
0 CP,Throne of Salvation,Warhammer 40k - Black Crusade,"The Galaxy is quite large despite the ability to travel through the Immaterium. It’s filled with stars, and each soul that inhabits it are like tiny fires that struggle to remain alit in the face of horrific dangers that stem from the Xenos or the forces of Chaos. Yet their fires will fade, and you must ensure that at least some of them survive. You require a vantage point to see the bigger picture, and so your throne awaits to grant you true vision. Magnificent and massive, this seat shines a brilliant gold while sitting atop a large set of stairs. This throne and the stairs themselves are etched with the countless battles you have fought, and the things you have given up for the good of Mankind. When they see this throne, they shall never question your love for them. If you have a particular piece of furniture or a prior throne, you may import it into this option."
0 CP,Security Scanner ,XCOM - Enemy Unknown,"With mind control, shapeshifters and who knows what else a potential threat, not to mention invisible Seekers, it makes sense to include scanners at each entrance. They will alert you if any aliens or strange technology try to enter, as well as identifying mind control."
100 CP,Apartment ,All-Star Superman,"Just a city boy, born and raised in Metropolis...oh, sorry. This is a simple one-bedroom apartment in a populated city of your choosing, with all the rent paid off by a mysterious benefactor and all the utilities you need for day-to-day living - heating, water, a stocked fridge, the works. Not bad, right?"
100 CP,Colony Boarding House Key,Ghosts of Mars,"A key to a home for someone living on the cheap. It is a tiny bedroom without much room, but it is a great place to hide and rest if you are into more “unsavory activities.” Comes with a basic cot, mini fridge, a basic computer, and a hotplate to cook cheap meals."
100 CP,The Bar,Mass Effect - Andromeda,"When the going gets tough, the tough...go out for drinks? You have a bar full of drinks manned by a skilled bartender, that the people working for you can gather at, wind down, have a good time, and maybe let slip how they feel about how things are going. The selection is constantly refilling, and both the drinks and the bartender’s skills expand/update as you and your people encounter new things. Find a plant that smells good? It’ll be a great garnish. An off-duty soldier discovers a hole-in-the-wall with a bartender with a bunch of new drink recipes? Your person at the bar will rapidly learn how to make them, with equal skill. They’ll also be very good at dispensing advice and “overhearing” conversations, and will relay intel to you. Lastly, as a side benefit of owning place, you get free drinks."
100 CP,Loft,Megamind,"A frankly spacious and luxurious apartment with a great view of the city. It comes furnished to your standards, doesn’t cost anything to keep, and even cleans and organizes itself when you aren’t looking."
100 CP,Lantean Control Chair ,Stargate Atlantis,"Allows a person sitting in it to mentally control any technology hooked up to it - such as a starship or a
defense network. No need for invasive cybernetic implants or cables jacking into your head - just sit in
the chair and let your mind do the controlling. Such chairs are normally locked to the ATA gene, but you
can lock this one to whatever conditions you like. As a special offer, you can also (dis)connect this
particular chair to anything you bought with CP just by picking it up and putting it in or on that thing."
100 CP,Augur Arrays,Warhammer 40K - Black Crusade 3,"Forewarned is forearmed, and anyone who tries to refute that is a moron who deserves to be strapped to the front of a Chimera. Alas, not every fortress is equipped to provide said forewarning, and it can lead to a cruel fate when an ambush eliminates a large portion of the personnel on site. By salvaging and installing various items along the fortress, you’ll attain powerful arrays capable of scanning a massive portion of the planet along with scanning anything in orbit. The enemy will need to try rather hard to avoid you with something like this."
100 CP,Orbital Defenses,Warhammer 40K - Black Crusade 3,"The world of Molech had a numerous amount of weapons in orbit, ranging from macrobatteries to missile pods to lance weapons and other wonderful tools of mayhem to keep itself secure. While you’re working on the planet surface, there’s nothing saying you can’t have your ships in orbit working on those defenses to get them back up and running again. Whether it’s reconstructing them or simply reprogramming them for a new master, eventually you’ll be able to at least fend off enemy ships this way."
100 CP,Teleportarium,Warhammer 40K - Black Crusade 3,"Getting to places in your base can take an awful amount of time, especially if it’s larger than normal. In the beginning moments of a battle, reaction speed can determine the entire flow and quite possibly the outcome as well. Hence, this ancient technology is found and installed into your fortress in multiple parts so that your forces and operators can appear anywhere in the base on a moment’s notice. Never be caught flat-footed again."
