0 CP,That Smell,ASOIAF - Small Council Jumpchain,"You are always impeccably clean and can choose exactly how you’d like to smell, no matter what you’ve been through. From your perspective, everything and everyone around you also smells perfectly pleasant—even if you’re wading through filth or haven’t seen a bath in weeks.
"
100 CP,No Happy Accidents ,ASOIAF - Small Council Jumpchain,"You hold full control over your own fertility, deciding precisely if and when you wish to conceive, without fear of accidental pregnancy. Additionally, you are entirely immune to diseases transmitted through intimacy, granting you peace of mind and security in even the closest liaisons. If you experience them, you may choose to never have a period again should you wish it to be so. 
"
100 CP,Social Architect,ASOIAF - Small Council Jumpchain,"You possess an incredible gift for shaping and guiding the social structures around you. Be it restructuring a city’s governance, shaping cultural practices, or controlling the flow of information within a council or court, your talent can have consequences that reach far further than the group you began in. With careful planning, you can manipulate public opinion, create and split factions, and even mold traditions to benefit yourself. 
"
100 CP,Tell the King No,ASOIAF - Small Council Jumpchain,"Those above you in the political hierarchy, particularly the king, always heed your counsel, even in the face of vehement disagreement. They process your advice with a clarity that pierces through ego, stubbornness, or impulsive tendencies, rather than letting pride or emotion cloud their judgment. This sway allows you to temper extreme decisions and act as a steady hand that pulls the realm back from the brink.
"
100 CP,Wardrobe,ASOIAF - Small Council Jumpchain,"You have access to a vast wardrobe in whatever style you desire, from Westerosi finery to the exotic garb of distant lands. Regardless of appearance, these clothes adapt to make you comfortable in any weather, remaining perpetually clean unless you prefer to blend in with a bit of grime.
"
100 CP,George Loves His Food ,ASOIAF - Small Council Jumpchain,"Why settle for gruel and moldy bread when you can dine like a king? This item ensures you receive three exquisite meals a day, perfectly suited to your tastes. From succulent roasts to delicate pastries, every dish is a culinary masterpiece. Even better, no one will find it odd if your meals differ from theirs, ensuring you avoid awkward questions while savoring your private feast. Never go hungry, and never compromise on flavor.
"
100 CP,Assistant,ASOIAF - Small Council Jumpchain,"You have an assistant which excels at absolutely everything you assign them with a level of focus and proficiency that puts others to shame. Be it managing logistics, devising strategies, overseeing finances, or organizing complex political maneuvers, they are masters at what they do. They are versatile, adaptable, and proactive, and utterly competent and capable of turning even your most ambitious plans into reality. 
"
100 CP, First Choice,Game Of Thrones - Version 1.201,"When someone is considering who to appoint for a position you desire, you will be the first name that comes to mind. Whilst this won’t stop them from choosing someone grossly more qualified and experienced, it will give you an edge if it’s a choice between you, and someone of a similar or slightly greater competence."
100 CP,Old Blood,Game Of Thrones - Version 1.201,"Within your veins pumps the blood of one of the Great Houses of Westeros, such as Stark or Lannister. As befitting of your blood, people give you more attention than they normally would when you demand it and are far more likely to bend to your demands or orders than normal. This also gives you a bit of divine right to rule causing vassals to be far less likely to betray you, after all your family has ruled well for centuries."
100 CP,Title of Land,Game Of Thrones - Version 1.201,"A title of land equal to what someone of your station would expect. Regular warriors may have a small block for them and their family, a lord may have a castle, and the surrounding area, a lord paramount may have a massive castle, and an enormous area around as their personal domain, and a royal may have not just an enormous castle, but also an area near equal to the other kingdoms as their land."
